value,count
"air.texture|air.location_index|air.read|air.arg_type_name|texture_buffer<float, read>|air.arg_name|t8|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|depth2d<float, sample>|air.arg_name|t9|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|depth2d_array<float, sample>|air.arg_name|t10|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|depthcube<float, sample>|air.arg_name|t11|air.arg_unused",280
"air.texture|air.location_index|air.sample|air.arg_type_name|depthcube_array<float, sample>|air.arg_name|t12|air.arg_unused",280
"air.texture|air.location_index|air.read|air.arg_type_name|texture1d<float, read>|air.arg_name|t13|air.arg_unused",280
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d_array<float, read>|air.arg_name|t15|air.arg_unused",280
"air.texture|air.location_index|air.read|air.arg_type_name|texture3d<float, read>|air.arg_name|t16|air.arg_unused",280
"air.texture|air.location_index|air.write|air.arg_type_name|texture1d<float, write>|air.arg_name|t17|air.arg_unused",280
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d<float, write>|air.arg_name|t18|air.arg_unused",280
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d_array<float, write>|air.arg_name|t19|air.arg_unused",280
"air.texture|air.location_index|air.write|air.arg_type_name|texture3d<float, write>|air.arg_name|t20|air.arg_unused",280
"air.texture|air.location_index|air.read_write|air.arg_type_name|texture1d<float, read_write>|air.arg_name|t21|air.arg_unused",280
"air.texture|air.location_index|air.read_write|air.arg_type_name|texture2d<float, read_write>|air.arg_name|t22|air.arg_unused",280
"air.texture|air.location_index|air.read_write|air.arg_type_name|texture2d_array<float, read_write>|air.arg_name|t23|air.arg_unused",280
"air.texture|air.location_index|air.read_write|air.arg_type_name|texture3d<float, read_write>|air.arg_name|t24|air.arg_unused",280
air.buffer|air.location_index|air.read_write|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|NestedLayout|air.arg_name|data,280
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|scratch,280
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float|air.arg_name|data,264
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|uout,226
air.position|air.center|air.no_perspective|air.arg_type_name|float4|air.arg_name|position,216
air.vertex_id|air.arg_type_name|uint|air.arg_name|vid,215
air.render_target|air.arg_type_name|int,214
"air.texture|air.location_index|air.sample|air.arg_type_name|depth2d<float, sample>|air.arg_name|t",214
air.point_size|air.arg_type_name|float|air.arg_name|ps,214
air.vertex_output|user(locn0)|air.arg_type_name|float2|air.arg_name|l0,214
air.vertex_output|user(locn1)|air.arg_type_name|float2|air.arg_name|l1,214
air.vertex_output|user(locn2)|air.arg_type_name|float2|air.arg_name|l2,214
air.vertex_output|user(locn3)|air.arg_type_name|float2|air.arg_name|l3,214
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d<half, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d<int, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d<uint, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d_array<half, read>|air.arg_name|tex",214
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d_array<int, read>|air.arg_name|tex",214
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d_array<uint, read>|air.arg_name|tex",214
"air.texture|air.location_index|air.sample|air.arg_type_name|texture1d<float, sample>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture1d<float, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.sample|air.arg_type_name|texture1d<half, sample>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture1d<half, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.sample|air.arg_type_name|texture1d<int, sample>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture1d<int, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.sample|air.arg_type_name|texture1d<uint, sample>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture1d<uint, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture3d<half, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture3d<int, write>|air.arg_name|tex",214
"air.texture|air.location_index|air.write|air.arg_type_name|texture3d<uint, write>|air.arg_name|tex",214
air.fragment_input|generated(6v_flatDv4_f)|air.flat|air.arg_type_name|float4|air.arg_name|v_flat,206
air.fragment_input|user(uid)|air.flat|air.arg_type_name|uint|air.arg_name|v_user,206
air.vertex_input|air.location_index|air.arg_type_name|float2|air.arg_name|uv,193
air.vertex_input|air.location_index|air.arg_type_name|float3|air.arg_name|normal,192
air.vertex_input|air.location_index|air.arg_type_name|half4|air.arg_name|color,192
