value,count
"uint (uint, uint)",708
"void (texture1d<float, access::sample>, metal::sampler, device float *)",708
"vec<float, 3> &(int)",708
"vec<float, 2> &(int)",708
"vec<float, 4> &(int)",708
"vec<half, 2> &(int)",708
"vec<half, 4> &(int)",708
"vec<half, 3> &(int)",708
Derived,708
threadgroup float4,708
"texture2d<half, access::read>",708
"texture2d_array<half, access::read>",708
"texture2d_array<int, access::read>",708
"texture2d_array<uint, access::read>",708
"texture1d<half, access::read>",708
"texture1d<int, access::read>",708
"texture1d<uint, access::read>",708
"void (texture3d<float, access::sample>, metal::sampler, device float *)",708
"texture3d<half, access::read>",708
"texture3d<int, access::read>",708
"texture3d<uint, access::read>",708
"texturecube<half, access::read>",708
"texturecube<int, access::read>",708
"texturecube<uint, access::read>",708
"T (T, T)",708
"float (float __attribute__((ext_vector_type(4))), float __attribute__((ext_vector_type(4)))) __attribute__((ext_vector_type(4)))",708
"float (bool, float __attribute__((ext_vector_type(4))), float __attribute__((ext_vector_type(4)))) __attribute__((ext_vector_type(4)))",708
threadgroup packed_float3,708
threadgroup AlignedTG,708
VOr &&,700
bool (*)(bool),700
const constant float4 *,698
const device SharedArgs &,696
const threadgroup SharedArgs &,696
device SharedArgs &&,696
threadgroup SharedArgs &&,696
<unknown type> (<unknown type>) noexcept,688
const constant ArgBufArr,688
MeshType,660
"const metal::_texture2d_write<float, metal::access::write, metal::__memory_coherence_threadgroup>",658
"const metal::_texture3d_sample<float, metal::access::sample, metal::__memory_coherence_threadgroup>",658
"const metal::_depth2d_sample<float, metal::access::sample, metal::__memory_coherence_threadgroup>",658
const threadgroup_imageblock SharedArgs &,656
threadgroup_imageblock SharedArgs &&,656
const Vec &,650
const P2 &,650
FO2 &&,650
FO &&,650
FOm &&,650
VOp &&,650
metal::float2x3,646
metal::float3x2,646
metal::float3x4,646
metal::float4x3,646
metal::half2x2,646
metal::half2x4,646
metal::half3x3,646
metal::half4x2,646
metal::half4x4,646
metal::float2x2,646
metal::float2x4,646
metal::float3x3,646
metal::float4x2,646
metal::half2x3,646
metal::half3x2,646
metal::half3x4,646
metal::half4x3,646
void (metal::gradient2d &&) noexcept,636
"int (int, int)",634
Vec &&,626
P2 &&,626
"metal::uint (metal::uint, metal::uint, metal::uint)",624
metal::thread_scope,624
"const metal::_texture2d_sample<float, metal::access::sample, metal::memory_coherence_threadgroup>",624
rt::ray,600
volatile device coherent(device) _atomic<unsigned int> *,600
const device AbiStruct &,592
const threadgroup AbiStruct &,592
const device AddressBox &,592
const threadgroup AddressBox &,592
device AddressBox &&,592
threadgroup AddressBox &&,592
const threadgroup NestedLayout &,592
device NestedLayout &&,592
threadgroup NestedLayout &&,592
const device Derived &,592
const threadgroup Derived &,592
device Derived &&,592
threadgroup Derived &&,592
const device U &,592
const threadgroup U &,592
device U &&,592
threadgroup U &&,592
const device VO &,592
const threadgroup VO &,592
device VO &&,592
threadgroup VO &&,592
const device VOut &,592
const threadgroup VOut &,592
device VOut &&,592
threadgroup VOut &&,592
const device IoVertexOut &,592
const threadgroup IoVertexOut &,592
device IoVertexOut &&,592
threadgroup IoVertexOut &&,592
const device IoFragOutA &,592
const threadgroup IoFragOutA &,592
device IoFragOutA &&,592
threadgroup IoFragOutA &&,592
const device IoFragOutG &,592
const threadgroup IoFragOutG &,592
device IoFragOutG &&,592
threadgroup IoFragOutG &&,592
const device IoFragOutL &,592
const threadgroup IoFragOutL &,592
device IoFragOutL &&,592
threadgroup IoFragOutL &&,592
const device OpBox &,592
const threadgroup OpBox &,592
device OpBox &&,592
threadgroup OpBox &&,592
"const device ArrayBox<float __attribute__((ext_vector_type(4))), 2> &",592
"const threadgroup ArrayBox<float __attribute__((ext_vector_type(4))), 2> &",592
"device ArrayBox<float __attribute__((ext_vector_type(4))), 2> &&",592
"threadgroup ArrayBox<float __attribute__((ext_vector_type(4))), 2> &&",592
void (const threadgroup_imageblock VertexOut &) threadgroup,592
void (const threadgroup_imageblock VertexOut &),592
void (threadgroup_imageblock VertexOut &&) threadgroup,592
void (threadgroup_imageblock VertexOut &&),592
"void (texturecube<float, access::sample>, metal::sampler, device float *)",590
int (*)(),590
Color,590
const P2,590
threadgroup float[64],590
"void (texture1d<half, access::sample>, metal::sampler, device float *)",590
"void (texture1d<int, access::sample>, metal::sampler, device float *)",590
"void (texture1d<uint, access::sample>, metal::sampler, device float *)",590
"void (texture3d<half, access::sample>, metal::sampler, device float *)",590
"void (texture3d<int, access::sample>, metal::sampler, device float *)",590
"void (texture3d<uint, access::sample>, metal::sampler, device float *)",590
threadgroup float[256],590
threadgroup int[256],590
void (device float4 *),590
void (device float3 *),590
void (device half4 *),590
void (device half3 *),590
void (device half2 *),590
void (device float2 *),590
"depthcube<float, access::sample>",590
bool (*)(float),590
int S::*,590
uint[65536],590
threadgroup int[64],590
threadgroup int[512],590
metal::uint4,580
metal::uint4 (*)(metal::uint4),580
const object_data Base &,576
"void (*)(metal::mem_flags, metal::thread_scope)",576
"unsigned int (const volatile device coherent(device) _atomic<unsigned int> *, metal::memory_order)",576
"void (volatile device _atomic<unsigned int> *, unsigned int, metal::memory_order)",564
"void (volatile device _atomic<int> *, int, metal::memory_order)",564
"const metal::_texture2d_sample<half, metal::access::sample, metal::__memory_coherence_threadgroup>",564
"const metal::_texturecube_sample<float, metal::access::sample, metal::__memory_coherence_threadgroup>",564
"void (device uint *, uint, uint)",560
Base &&,560
device Base &&,560
threadgroup Base &&,560
const object_data S &,552
object_data S &&,552
const ray_data SharedArgs &,548
ray_data SharedArgs &&,548
